RequestNumber,Timestamp,ResponseTime(ms),StatusCode,URL,RequestId
1,2025-07-31T17:02:00.350Z,2421,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,b32fd03b-7203-4bd9-8f92-52571e7fe00e
2,2025-07-31T17:02:00.888Z,2962,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,f8dd4b1e-cc3d-406d-ba3c-7dc694b187e4
3,2025-07-31T17:02:01.347Z,3413,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,2134caf6-f55f-431a-9e01-bde7cc575ec6
4,2025-07-31T17:02:01.450Z,3271,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e8596ce7-fb61-43cf-beff-46ec22e57f19
5,2025-07-31T17:02:01.567Z,3328,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e670c83a-a4ad-4330-b8e4-247b22cf276d
6,2025-07-31T17:02:01.601Z,3480,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,53bff15a-513a-45fe-aa98-398386615924
7,2025-07-31T17:02:01.602Z,3671,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,d363da6e-00a7-4e50-b213-4ed5c8b8444d
8,2025-07-31T17:02:01.614Z,3696,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,a702a452-5e7a-482d-b59c-130bdd2625be
9,2025-07-31T17:02:01.635Z,3036,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,ef340ea2-6321-426c-bb6f-db8fb1d4d753
10,2025-07-31T17:02:01.672Z,3533,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,69658b24-3c15-4a06-aedf-1c7356ef2539
11,2025-07-31T17:02:01.794Z,3752,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,74f3da20-18eb-4923-9b53-b6a9725c8fa3
12,2025-07-31T17:02:01.819Z,3460,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,aa2e611a-f848-4dad-8798-a9928e4f83d0
13,2025-07-31T17:02:01.825Z,3821,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,1f0a7bb2-9eec-4163-b4bd-7e3f284a4af5
14,2025-07-31T17:02:01.835Z,3894,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,333dfc78-6818-4a06-98ff-e93dd749aa17
15,2025-07-31T17:02:01.839Z,3809,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,70a921c4-fe57-4d11-a91f-01c102dfe2e6
